roomIndex_1,roomIndex_2,coordiates_1,coordiates_2,recordPow,recordSnr,recordAoaAz,recordAzErr,recordBfGain
1,82,12.2,-0.1,-77.1238334458164,44.779404918503,-118,0.0400000000000063,11.5652586492157
2,80,11.9,-0.25,-76.5998562509354,44.2291256921329,-99.8,17.144,11.9714865203382
2,81,12.05,-0.25,-76.8707703203286,45.24830066089,-117.6,0.0930000000000035,11.6948527316074
2,82,12.2,-0.25,-77.3822893030613,46.0379441160301,-114.6,3.833,11.4174813464056
2,83,12.35,-0.25,-76.1694735464781,44.9373341975559,-125.2,6.038,11.1398057521577
2,84,12.5,-0.25,-77.1956403176598,44.8416898839772,-119.8,0.0810000000000031,10.8623052852145
2,85,12.65,-0.25,-75.41779062272,43.9224602714635,-162.2,41.61,10.8260615725066
3,78,11.6,-0.4,-76.8817048832002,44.6245465521374,-115.8,0.012999999999991,12.3885190107412
3,79,11.75,-0.4,-76.5480909947509,44.0034070792765,-116.6,0.0349999999999966,12.1093617801834
3,80,11.9,-0.4,-76.092352547347,44.9936927016716,-119.8,2.46799999999999,11.8286323372173
3,81,12.05,-0.4,-76.5848542466316,43.5730222100462,-118,0.0889999999999986,11.5468757986802
3,82,12.2,-0.4,-77.1544330268756,43.3475801739584,-115.8,3.036,11.2646027879075
3,83,12.35,-0.4,-77.3946127505715,43.4456146525077,-127.8,8.229,10.9822914141599
3,84,12.5,-0.4,-76.837079056558,43.8335558192576,-120.2,0.0960000000000036,10.7126620021887
3,85,12.65,-0.4,-77.3285586339459,44.1121280862324,-121,0.0110000000000099,10.9877588467385
3,86,12.8,-0.4,-76.5492232628919,43.9683348544562,-109.6,12.115,11.2551479065578
4,75,11.15,-0.55,-75.7212751626328,43.6744912112791,-122.4,8.65100000000001,13.0660543494722
4,76,11.3,-0.55,-76.5187896501582,47.6587847194159,-114.6,0.032999999999987,12.8058010706403
4,77,11.45,-0.55,-75.9078839323271,44.7007148491713,-110.6,4.774,12.5344113428417
4,78,11.6,-0.55,-76.6840042630957,44.6012854914525,-123.4,7.229,12.2515815551555
